audio_name,type,transcription,choices,annotation
LU_001.wav,LU,"Make a left turn where you exit Lab B and then make another left turn where you see the kitchen and then you go straight and when you see the station, no, the, when you see Lab A, you take a right turn.","A: Make a left turn where you exit Lab B, then make another left turn where you see the kitchen, go straight, and when you see Lab A, take a right turn
B: Make a right turn where you exit Lab B, then make another left turn where you see the kitchen, go straight, and when you see Lab A, take a right turn
C: Make a left turn where you exit Lab B, then make another left turn where you see the kitchen, go straight, and when you see the station, ask other people for further instruction
D: Make a left turn where you exit Lab B, then make another left turn where you see the kitchen, go straight, and when you see Lab A, ask other people for further instruction
E: Ask another person near you for direction",C
LU_002.wav,LU,"Go straight and then turn left at the second left. Go straight and then turn right, probably at the second right. The left is on your right.","A: Go straight, turn left at the second left, go straight, and then turn right at the second right
B: Go straight, turn left at the second left, go straight, and then turn right at the first right
C: Go straight, turn left at the first left, go straight, and then turn right at the second right
D: Go straight, turn left at the second left, go straight, and then turn right at the second right, and ask other people for further instruction
E: Ask another person near you for direction",D
LU_003.wav,LU,"Walk down the hallway, maybe until you see the conference room and then take a right. Walk a short distance, the left B I think is on your right side or maybe the left side.","A: Walk down the hallway until you see the conference room and then take a right, walk a short distance, and look for Lab B on the right side
B: Walk down the hallway until you see the conference room and then take a right, walk a short distance, and look for Lab B on the left side
C: Walk down the hallway, bypass the conference room, and then ask other people for further instruction
D: Walk down the hallway, take the first right before the conference room, walk a short distance, and then ask other people for further instruction
E: Ask another person near you for direction",C
LU_004.wav,LU,"So right now you're going to go straight, I believe, when you pass the auditorium room and see the conference room. I think you may need to turn right at that time and go straight. If there is nothing wrong, you will see the lab B at the right hand of you.","A: Go straight, pass the auditorium room, see the conference room, then turn right and go straight until you see lab B on your right, then ask other people for further instruction
B: Go straight, pass the auditorium room, and if you see the conference room, ask other people for further instruction
C: Go straight, pass the auditorium room, see the conference room, then turn left and ask other people for further instruction
D: Go straight, pass the auditorium room, do not turn at the conference room, and ask other people for further instruction
E: Ask another person near you for direction",B
LU_005.wav,LU,"To get to the cafeteria from the male office, first go straight and then turn left and then go straight and then turn right after the locker room and then go straight and the cafeteria is probably on your left","A: Go straight from the male office, turn left, go straight, turn right after the locker room, go straight, and the cafeteria should be on your left
B: Go straight from the male office, turn left, go straight, turn right after the locker room, go straight, and ask another person to confirm the location of the cafeteria
C: Go straight from the male office, turn right, go straight, turn right after the locker room, go straight, and the cafeteria should be on your left
D: Go straight from the male office, turn left, go straight, turn left after the locker room, go straight, and the cafeteria should be on your left
E: Ask another person near you for direction",B
LU_006.wav,LU,Turn left now and take the first right near the kitchen and then you proceed straight and turn maybe right near lab bay,"A: Turn left now and take the first right near the kitchen, then proceed straight and turn right near lab bay
B: Turn left now and take the first right near the kitchen, then proceed straight and turn left near lab bay
C: Turn left now and take the first right near the kitchen, then proceed straight and ask other people for further instruction near lab bay
D: Turn right now and take the first right near the kitchen, then proceed straight and turn right near lab bay
E: Ask another person near you for direction",C
LU_007.wav,LU,"When you see the library, you turn left and then when you see the stationery, you can either turn left or right. And then when you go to the other corner of the stationery, you can make another turn and then you go straight and you will see the kitchen.","A: When you see the library, turn left, upon seeing the stationery, turn left, go to the other corner of the stationery, make another turn, go straight until you see the kitchen
B: When you see the library, turn left, upon seeing the stationery, turn right, go to the other corner of the stationery, make another turn, go straight until you see the kitchen
C: When you see the library, turn right, upon seeing the stationery, turn left, go to the other corner of the stationery, make another turn, go straight until you see the kitchen
D: When you see the library, turn left, upon seeing the stationery, ask another person for further instruction
E: Ask another person near you for direction",D
LU_008.wav,LU,To get to the left B first turn right at the first right and then go straight And then probably turn left at the second left Go straight and then I think that B should be on your left,"A: Turn right at the first right, go straight, and then turn left at the second left, go straight, and Lab B should be on your left
B: Turn right at the first right, go straight, and then turn left at the first left, go straight, and Lab B should be on your left
C: Turn right at the first right, go straight, and then turn right at the second left, go straight, and Lab B should be on your left
D: Turn right at the first right, go straight, and then turn left at the second left, go straight, and then ask other people for further instruction
E: Ask another person near you for direction",D
LU_009.wav,LU,So first you want to go straight and take the first right turn and then you go straight again and maybe you should take the third or maybe you should take the fourth left turn and then go straight and you will see the cafeteria.,"A: Go straight, take the first right turn, go straight again, take the third left turn, then go straight to find the cafeteria
B: Go straight, take the first right turn, go straight again, take the fourth left turn, then go straight to find the cafeteria
C: Go straight, take the first right turn, go straight again, and ask another person for further instruction on whether to take the third or fourth left turn
D: Go straight, take the first right turn, go straight again, take the second left turn, then go straight to find the cafeteria
E: Ask another person near you for direction",C
LU_010.wav,LU,"So first you turn right and you will go straight and pass through the cafeteria and lab A and then you will see the conference room, no, and then you will see the auditorium and then you turn right and then when you get to the corner of the auditorium you turn left and then you will see lab B is on your right.","A: Turn right, go straight past the cafeteria and lab A, then see the auditorium, turn right, and at the corner of the auditorium turn left, then Lab B should be on your right
B: Turn left, go straight past the cafeteria and lab A, then see the auditorium, turn right, and at the corner of the auditorium turn left, then Lab B should be on your right
C: Turn right, go straight past the cafeteria and lab A, then see the auditorium, turn left, and at the corner of the auditorium turn left, then Lab B should be on your right
D: Turn right, go straight past the cafeteria and lab A, then see the auditorium, turn right, and at the corner of the auditorium turn left, then ask other people for further instruction
E: Ask another person near you for direction",E
LU_011.wav,LU,So first you will go straight and then you make the second right turn and then maybe you should go straight all the way down the hole and then you will see the cafeteria.,"A: Go straight and make the second right turn, then go straight all the way down the hall until you see the cafeteria.
B: Go straight and make the first right turn, then go straight all the way down the hall and ask another person for further instruction.
C: Go straight and make the second right turn, then go straight all the way down the hall and ask another person for further instruction.
D: Go straight and make the second right turn, then take the first left and ask another person for further instruction.
E: Ask another person near you for direction",A
LU_012.wav,LU,first you want to go straight and then when you see the library you want to maybe you maybe want to turn left and then go straight and you will see the cafeteria,"A: Go straight until you see the library, then turn left and go straight to find the cafeteria.
B: Go straight until you see the library, then turn right and go straight to find the cafeteria.
C: Go straight until you see the library, then continue straight without turning to find the cafeteria.
D: Go straight until you see the library, then turn left and ask other people for further instruction.
E: Ask another person near you for direction.",D
LU_013.wav,LU,"I think you can go along this street at the first intersection, probably turn left. And then at the next intersection turn right and keep going until you see the local room is on your right. And then turn left. Go along this street at the end of the street, turn right. And you can see the cafeteria is at the end of the street.","A: Go along this street, at the first intersection turn left, then at the next intersection turn right, keep going until the local room is on your right, then turn left, go along this street, at the end of the street turn right, and you should see the cafeteria at the end of the street
B: Go along this street, at the first intersection turn right, then at the next intersection turn right, keep going until the local room is on your right, then turn left, go along this street, at the end of the street turn right, and you should see the cafeteria at the end of the street
C: Go along this street, at the first intersection turn left, then at the next intersection turn left, keep going until the local room is on your right, then turn left, go along this street, at the end of the street turn right, and you should see the cafeteria at the end of the street
D: Go along this street, at the first intersection turn left, then at the next intersection turn right, keep going until the local room is on your right, then turn left, go along this street, at the end of the street turn right, and ask other people for further instruction
E: Ask another person near you for direction",E
LU_014.wav,LU,"To get to the cafeteria from the male office, first go straight and then turn left before the gym and then go straight again Maybe Go right after the conference room and the cafeteria should be on your right","A: Go straight from the male office, turn left before the gym, then go straight and go right after the conference room, and the cafeteria should be on your right
B: Go straight from the male office, turn left before the gym, then go straight and go left after the conference room, and the cafeteria should be on your right
C: Go straight from the male office, turn left before the gym, then go straight and ask another person for further instruction after the conference room
D: Go straight from the male office, turn right before the gym, then go straight and go right after the conference room, and the cafeteria should be on your right
E: Ask another person near you for direction",C
LU_015.wav,LU,"Go ahead first, when you pass the gym, you probably need to turn left and you will get the cafeteria.","A: Go ahead first, when you pass the gym, turn left and you will get to the cafeteria.
B: Go ahead first, when you pass the gym, turn right and you will get to the cafeteria.
C: Go ahead first, when you pass the gym, continue straight and ask other people for further instruction.
D: Go ahead first, when you pass the gym, turn left and if unsure, ask other people for further instruction.
E: Ask another person near you for direction",D
LU_016.wav,LU,"To get to the cafeteria from the male office, first go straight and then turn left before the admission office and then probably go straight and then probably turn right after the auditorium and then go straight. The cafeteria should be on your right.","A: Go straight from the male office, turn left before the admission office, then go straight, turn right after the auditorium, and go straight until the cafeteria is on your right
B: Go straight from the male office, turn left before the admission office, then ask other people for further instruction
C: Go straight from the male office, turn right before the admission office, then go straight, turn right after the auditorium, and go straight until the cafeteria is on your right
D: Go straight from the male office, turn left before the admission office, then go straight, turn left after the auditorium, and go straight until the cafeteria is on your right
E: Ask another person near you for direction",B
